Year,Number_1_Release,Weekend_Number
2002,The Lord of the Rings: The Two Towers,52
2002,The Lord of the Rings: The Two Towers,51
2002,Maid in Manhattan,50
2002,Die Another Day,49
2002,Harry Potter and the Chamber of Secrets,48
2002,Die Another Day,48
2002,Die Another Day,48
2002,Die Another Day,47
2002,Harry Potter and the Chamber of Secrets,46
2002,8 Mile,45
2002,The Santa Clause 2,44
2002,Jackass: The Movie,43
2002,The Ring,42
2002,Red Dragon,41
2002,Red Dragon,41
2002,Red Dragon,40
2002,Sweet Home Alabama,39
2002,Barbershop,38
2002,Barbershop,37
2002,Swimfan,36
2002,Signs,35
2002,Signs,35
2002,Signs,34
2002,xXx,33
2002,xXx,32
2002,Signs,31
2002,Austin Powers in Goldmember,30
2002,Road to Perdition,29
2002,Men in Black II,28
2002,Men in Black II,27
2002,Mr. Deeds,26
2002,Minority Report,25
2002,Scooby-Doo,24
2002,The Sum of All Fears,23
2002,The Sum of All Fears,22
2002,Star Wars: Episode II - Attack of the Clones,21
2002,Star Wars: Episode II - Attack of the Clones,21
2002,Star Wars: Episode II - Attack of the Clones,20
2002,Spider-Man,19
2002,Spider-Man,18
2002,The Scorpion King,17
2002,The Scorpion King,16
2002,Changing Lanes,15
2002,Panic Room,14
2002,Panic Room,13
2002,Panic Room,13
2002,Blade II,12
2002,Ice Age,11
2002,The Time Machine,10
2002,We Were Soldiers,9
2002,Queen of the Damned,8
2002,John Q,7
2002,John Q,7
2002,Collateral Damage,6
2002,Black Hawk Down,5
2002,Black Hawk Down,4
2002,Black Hawk Down,3
2002,Black Hawk Down,3
2002,The Lord of the Rings: The Fellowship of the Ring,2
2002,The Lord of the Rings: The Fellowship of the Ring,1
2003,The Lord of the Rings: The Return of the King,52
2003,The Lord of the Rings: The Return of the King,51
2003,Something's Gotta Give,50
2003,The Last Samurai,49
2003,The Cat in the Hat,48
2003,The Haunted Mansion,48
2003,The Haunted Mansion,48
2003,The Cat in the Hat,47
2003,Elf,46
2003,The Matrix Revolutions,45
2003,Scary Movie 3,44
2003,Scary Movie 3,43
2003,The Texas Chainsaw Massacre,42
2003,Kill Bill: Vol. 1,41
2003,School of Rock,41
2003,School of Rock,40
2003,The Rundown,39
2003,Underworld,38
2003,Once Upon a Time in Mexico,37
2003,Dickie Roberts: Former Child Star,36
2003,Jeepers Creepers 2,35
2003,Jeepers Creepers 2,35
2003,Freddy vs. Jason,34
2003,Freddy vs. Jason,33
2003,S.W.A.T.,32
2003,American Wedding,31
2003,Spy Kids 3: Game Over,30
2003,Bad Boys II,29
2003,Pirates of the Caribbean: The Curse of the Black Pearl,28
2003,Terminator 3: Rise of the Machines,27
2003,Charlie's Angels: Full Throttle,26
2003,Hulk,25
2003,Finding Nemo,24
2003,2 Fast 2 Furious,23
2003,Finding Nemo,22
2003,Bruce Almighty,21
2003,Bruce Almighty,21
2003,The Matrix Reloaded,20
2003,X2,19
2003,X2,18
2003,Identity,17
2003,Anger Management,16
2003,Anger Management,16
2003,Anger Management,15
2003,Phone Booth,14
2003,Head of State,13
2003,Bringing Down the House,12
2003,Bringing Down the House,11
2003,Bringing Down the House,10
2003,Cradle 2 the Grave,9
2003,Daredevil,8
2003,Daredevil,7
2003,Daredevil,7
2003,How to Lose a Guy in 10 Days,6
2003,The Recruit,5
